dirty_name,dirty_label,name_length,word_count,has_prefix,has_suffix,is_uppercase,has_numbers,has_special_chars,prefix
MS kelebogile scholtz,Person,21,3,False,False,False,False,False,None
Clara Cucuzza,Person,13,2,False,False,False,False,False,None
GROVER UPFOLD,Person,13,2,False,False,True,False,False,None
Dr. Shani Abells,Person,16,3,False,False,False,False,True,None
JOBI FLAWS,Person,10,2,False,False,True,False,False,None
Rutherford Clemenza,Person,19,2,False,False,False,False,False,None
Phillipe Mantrip,Person,16,2,False,False,False,False,False,None
GEORGE FOULSHAM,Person,15,2,False,False,True,False,False,None
Tania Mashaba,Person,13,2,False,False,False,False,False,None
MPHO JANSEN VAN VUUREN,Person,22,4,False,False,True,False,False,None
zoonoodle Company,Company,17,2,False,False,False,False,False,None
CCMA and A Group Retirement Fd,Company,30,6,False,False,False,False,False,None
Mrs. wilbert caberas,Person,20,3,False,False,False,False,True,None
Mr. LANGSDON DEAVES,Company,19,3,False,False,False,False,True,None
Farand Jull,Person,11,2,False,False,False,False,False,None
Jessica Brand,Company,13,2,False,False,False,False,False,None
eamia Yadel PTE,Company,15,3,False,False,False,False,False,None
IMIBONO FUELS,Company,13,2,False,False,True,False,False,None
Edgewire & Co,Company,13,3,False,False,False,False,True,None
rev. michelle koen,Person,18,3,False,False,False,False,True,None
Legacy All Suits Closed Corporations,Company,36,5,False,False,False,False,False,None
Mr. Mr. Vuyokazi Khanyile,Person,25,4,False,False,False,False,True,None
Dr louise marais,Person,16,3,False,False,False,False,False,None
Miss Stephan Mkhwanazi,Person,22,3,False,False,False,False,False,None
skippad Gigazoom PTY (LTD).,Company,27,4,False,True,False,False,True,None
meezzy LINKLINKS Trunyx Bond,Company,28,4,False,False,False,False,False,None
charil dismore,Person,14,2,False,False,False,False,False,None
ms. yolandi nhlapo,Person,18,3,False,False,False,False,True,None
rev. siphiwe khosa,Person,18,3,False,False,False,False,True,None
Dr. sloane olley,Person,16,3,False,False,False,False,True,None
Grace Claassen,Person,14,2,False,False,False,False,False,None
Mrs. Isaac Clark,Person,16,3,False,False,False,False,True,None
MARLON JOE,Person,10,2,False,False,True,False,False,None
Kelebogile Uys,Person,14,2,False,False,False,False,False,None
MR Hon. Thabiso Viljoen,Person,23,4,False,False,False,False,True,None
Miss lindiwe mpofu,Person,18,3,False,False,False,False,False,None
MRS heidi mngomezulu,Person,20,3,False,False,False,False,False,None
MYWORKS FLIPBUG Tagfeed GABTUNE Consortium,Company,42,5,False,False,False,False,False,None
Hon. Your Hadebe,Person,16,3,False,False,False,False,True,None
Gail Claassen,Person,13,2,False,False,False,False,False,None
Hendrik Lawrence,Person,16,2,False,False,False,False,False,None
keith oosthuizen,Person,16,2,False,False,False,False,False,None
yoshi witson,Person,12,2,False,False,False,False,False,None
Bérénice Caulton,Person,16,2,False,False,False,False,False,None
EMMANUEL MASILELA,Person,17,2,False,False,True,False,False,None
keane jakubiak,Person,14,2,False,False,False,False,False,None
Miss siyabonga ndhlovu,Person,22,3,False,False,False,False,False,None
Lee Ann Baker,Person,13,3,False,False,False,False,False,None
Skiptube vinder Yodoo Inc,Company,25,4,False,True,False,False,False,None
Mr. JILLANE MALT,Person,16,3,False,False,False,False,True,None
derek furnival,Company,14,2,False,False,False,False,False,None
ALVA TREGONNA,Person,13,2,False,False,True,False,False,None
PEERNET GLOBAL BW LTD,Company,21,4,False,True,True,False,False,None
Prof. prof. gabriel khanyile,Person,28,4,False,False,False,False,True,None
Tshepiso Adam,Person,13,2,False,False,False,False,False,None
Deborah Twala,Person,13,2,False,False,False,False,False,None
Alicia Simelane,Person,15,2,False,False,False,False,False,None
MASHUDU BASSON,Person,14,2,False,False,True,False,False,None
FIKILE RADEBE,Person,13,2,False,False,True,False,False,None
rhonda licciardi,Person,16,2,False,False,False,False,False,None
meedoo TAZZ Latz Jv Co.,Company,23,5,False,False,False,False,True,None
Prof. Pierre Mofokeng,Company,21,3,False,False,False,False,True,None
Mr BAIL EWERS,Company,13,3,False,False,False,False,False,None
DR. VICTORIA GROBLER,Person,20,3,True,False,True,False,True,DR.
Salaidh Ramlot,Person,14,2,False,False,False,False,False,None
Nevil Blaydes,Person,13,2,False,False,False,False,False,None
